qas_id,review,question,human_ans_spans,human_ans_indices
q1,"Chennai, formerly known as Madras, is the capital city of the Indian state of Tamil Nadu. It is a major cultural, economic, and educational center in South India. The city is known for its rich history, vibrant culture, and architectural landmarks. Chennai boasts a diverse range of tourist attractions. The Marina Beach, stretching along the Bay of Bengal, is one of the longest urban beaches in the world and a popular spot for locals and tourists alike.",What is Chennai formerly known as?,Madras,"(27, 33)"
q2,"Chennai, formerly known as Madras, is the capital city of the Indian state of Tamil Nadu. It is a major cultural, economic, and educational center in South India. The city is known for its rich history, vibrant culture, and architectural landmarks. Chennai boasts a diverse range of tourist attractions. The Marina Beach, stretching along the Bay of Bengal, is one of the longest urban beaches in the world and a popular spot for locals and tourists alike.",What is the capital city of Tamil Nadu?,Chennai,"(0, 7)"
q3,"Chennai, formerly known as Madras, is the capital city of the Indian state of Tamil Nadu. It is a major cultural, economic, and educational center in South India. The city is known for its rich history, vibrant culture, and architectural landmarks. Chennai boasts a diverse range of tourist attractions. The Marina Beach, stretching along the Bay of Bengal, is one of the longest urban beaches in the world and a popular spot for locals and tourists alike.",What is Chennai known for?,"Its rich history, vibrant culture, and architectural landmarks","(189, 247)"
q4,"Chennai, formerly known as Madras, is the capital city of the Indian state of Tamil Nadu. It is a major cultural, economic, and educational center in South India. The city is known for its rich history, vibrant culture, and architectural landmarks. Chennai boasts a diverse range of tourist attractions. The Marina Beach, stretching along the Bay of Bengal, is one of the longest urban beaches in the world and a popular spot for locals and tourists alike.",In which region of India is Chennai located?,South India,"(150, 161)"
q5,"Chennai, formerly known as Madras, is the capital city of the Indian state of Tamil Nadu. It is a major cultural, economic, and educational center in South India. The city is known for its rich history, vibrant culture, and architectural landmarks. Chennai boasts a diverse range of tourist attractions. The Marina Beach, stretching along the Bay of Bengal, is one of the longest urban beaches in the world and a popular spot for locals and tourists alike.",What are some of the key features of Chennai?,"Cultural, economic, and educational center","(104, 146)"
q6,"Chennai, formerly known as Madras, is the capital city of the Indian state of Tamil Nadu. It is a major cultural, economic, and educational center in South India. The city is known for its rich history, vibrant culture, and architectural landmarks. Chennai boasts a diverse range of tourist attractions. The Marina Beach, stretching along the Bay of Bengal, is one of the longest urban beaches in the world and a popular spot for locals and tourists alike.",What is the state to which Chennai belongs?,Tamil Nadu,"(78, 88)"
q7,"Chennai, formerly known as Madras, is the capital city of the Indian state of Tamil Nadu. It is a major cultural, economic, and educational center in South India. The city is known for its rich history, vibrant culture, and architectural landmarks. Chennai boasts a diverse range of tourist attractions. The Marina Beach, stretching along the Bay of Bengal, is one of the longest urban beaches in the world and a popular spot for locals and tourists alike.",What are some notable landmarks in Chennai?,The Marina Beach,"(304, 320)"
q8,"Chennai, formerly known as Madras, is the capital city of the Indian state of Tamil Nadu. It is a major cultural, economic, and educational center in South India. The city is known for its rich history, vibrant culture, and architectural landmarks. Chennai boasts a diverse range of tourist attractions. The Marina Beach, stretching along the Bay of Bengal, is one of the longest urban beaches in the world and a popular spot for locals and tourists alike.",Tell me about marina beach,one of the longest urban beaches in the world,"(361, 406)"
q9,"Chennai is also famous for its traditional cuisine, which includes South Indian dishes such as dosa, idli, and sambar. The city celebrates various festivals with great fervor, including Pongal, Diwali, and Tamil New Year. Chennai has a tropical wet and dry climate, characterized by hot and humid weather conditions. Tamil is the primary language spoken in the city, and the traditional attire includes sarees for women and dhotis for men.",What is the traditional cuisine of Chennai?,"South Indian dishes such as dosa, idli, and sambar","(67, 117)"
q10,"Chennai is also famous for its traditional cuisine, which includes South Indian dishes such as dosa, idli, and sambar. The city celebrates various festivals with great fervor, including Pongal, Diwali, and Tamil New Year. Chennai has a tropical wet and dry climate, characterized by hot and humid weather conditions. Tamil is the primary language spoken in the city, and the traditional attire includes sarees for women and dhotis for men.",What are some popular festivals celebrated in Chennai?,"Pongal, Diwali, and Tamil New Year","(186, 220)"
q11,"Chennai is also famous for its traditional cuisine, which includes South Indian dishes such as dosa, idli, and sambar. The city celebrates various festivals with great fervor, including Pongal, Diwali, and Tamil New Year. Chennai has a tropical wet and dry climate, characterized by hot and humid weather conditions. Tamil is the primary language spoken in the city, and the traditional attire includes sarees for women and dhotis for men.",What is the climate of Chennai?,tropical wet and dry climate,"(236, 264)"
